,Name,Energy(kcal/mol),Charge,Multiplicity,T1_diagnostic
159,UF5,-17852149.693,0,2,
160,UF6,-17914814.990,0,1,
161,UO2(NO3)2,-17984821.108,0,1,
162,UO2(OH)2,-17728341.469,0,1,
163,UO2C2O4,-17869703.227,0,1,
164,UO2CO3,-17798635.776,0,1,
165,UO2Cl2,-18211993.273,0,1,
166,UO2F2,-17758540.865,0,1,
167,UO2SO4,-18072188.434,0,1,
168,UO2_2+,-17632679.392,2,1,
169,UO3,-17680364.524,0,1,
170,U_4+,-17537038.250,4,3,
171,U_5+,-17535990.635,5,2,
172,U_6+,-17534590.174,6,1,
173,Yb,,0,1,
174,Yb_3+,,3,2,
175,Yb_CH3COO_3,,0,2,
176,Ce_Cl_3,-10236.403362301,0,2,0.024056436
177,Ce_F_1,-8952.614240042,0,2,0.116101622
178,Ce_F_3,-9152.533412841,0,2,0.067215073
179,Ce_O_2,-9003.17415648,0,3,0.027996525
180,Ce_OH_3,-9080.324416869,0,2,0.059675588
181,Dy_Cl_3,-13528.043979598,0,6,0.012842675
182,Dy_F_1,-12244.192981377,0,6,0.147258617
183,Dy_F_2,-12344.188434009,0,7,0.025097233
184,Dy_O_2,-12294.733228148,0,7,0.040080131
185,Dy_OH_3,-12371.922098962,0,6,0.015510441
186,Er_Cl_3,-14455.429054868,0,4,0.013025258
187,Er_F_1,,0,4,
188,Er_F_2,-13271.57677988,0,5,0.019291432
189,Er_O_2,-13222.041320821,0,5,0.057417961
190,Er_OH_3,-13299.29118115,0,4,0.020853715
191,Eu_Cl_3,-12217.14558151,0,7,0.012773863
192,Eu_F_1,-10933.400408732,0,7,0.027764093
193,Eu_F_2,-11033.28591182,0,8,0.032311424
194,Eu_O_2,-10983.844411805,0,8,0.032167425
195,Gd_Cl_3,-12643.854885873,0,8,0.012081021
196,Gd_F_1,-11360.010932692,0,8,0.027752075
197,Gd_O_2,-11410.545418735,0,9,0.023698563
198,Ho_Cl_3,-13986.293467875,0,5,0.012769549
199,Ho_F_1,-12702.44316313,0,5,0.086165385
200,Ho_OH_3,-12830.167309223,0,5,0.024035295
201,La_Cl_3,-9869.632692168,0,1,0.008692281
202,La_F_1,-8585.834504883,0,1,0.017736062
203,La_F_2,-8685.772581494,0,2,0.019602226
204,La_O_2,-8636.342789963,0,2,0.02518089
205,Lu_F_1,-14646.061717931,0,1,0.018926829
206,Lu_F_2,-14745.973011758,0,2,0.019640016
207,Lu_NO_3_3,-15386.708330782,0,1,0.018733575
208,Lu_O_2,-14696.483969875,0,2,0.034008551
209,Lu_OH_3,-14773.036579648,0,1,0.022905032
210,Nd_Cl_3,-10998.826920297,0,4,0.01194
211,Nd_F_1,-9714.977109459,0,4,0.054274698
212,Nd_F_2,-9814.965347299,0,5,0.020792401
213,Nd_O_2,-9765.531012175,0,5,0.02661696
214,Nd_OH_3,-9842.701857453,0,4,0.017801544
215,Pm_Cl_3,-11394.83446054,0,5,0.012774213
216,Pm_F_1,-10111.040121489,0,5,0.070220234
217,Pm_F_3,-10310.912414229,0,5,0.015878222
218,Pm_O_2,-10161.534868616,0,6,0.026185195
219,Pr_F_1,-9328.895847968,0,3,0.020456543
220,Pr_F_2,-9428.864922052,0,4,0.021495397
221,Pr_O_2,-9379.434331548,0,4,0.031794973
222,Pr_OH_3,-9456.598615902,0,3,0.015829659
223,Sm_Cl_3,-11800.879631125,0,6,0.044612555
224,Sm_O_2,-10567.581606999,0,7,0.026929822
225,Sm_OH_3,-10644.758230444,0,6,0.015965388
226,Tb_F_2,-11896.730845732,0,8,0.019246413
227,Tb_F_3,-11996.664190245,0,7,0.024182334
228,Tb_O_2,-11847.313340711,0,8,0.028540556
229,Tb_OH_3,-11924.451890569,0,7,0.017637669
230,Tm_F_1,-13651.789087098,0,3,0.030647573
231,Tm_O_2,-13702.171140999,0,4,0.155349753
232,Yb_Cl_3,-15427.012906604,0,2,0.057767846
233,Yb_F_1,-14143.157194643,0,2,0.115116646
234,Yb_F_2,-14243.16149698,0,3,0.023928148
235,Yb_O_2,-14193.678966785,0,3,0.033084006
236,Yb_OH_3,-14269.891506013,0,2,0.028131336
